WHITE,,,,,,,,,,,,,
Ruy,r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b,g8-f6,0.6,f8-c5,0.2,d7-d6,0.1,g8-e7,0.1,,,,
Ruy,r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b,f8-e7,0.5,f6-e4,0.3,b7-b5,0.1,f8-c5,0.1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Open Sicilian,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b,d7-d6,0.3,b8-c6,0.25,e7-e6,0.25,g7-g6,0.1,a7-a6,0.1,,
Nc6,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b,c5-d4,1,,,,,,,,,,
,r1bqkbnr/pp1ppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b,g8-f6,0.5,g7-g6,0.2,e7-e6,0.1,e7-e5,0.2,,,,
,r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b,e7-e5,0.7,d7-d6,0.3,,,,,,,,
e6,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b,c5-d4,1,,,,,,,,,,
,rnbqkbnr/pp1p1ppp/4p3/8/3NP3/8/PPP2PPP/RNBQKB1R b,b8-c6,0.3,a7-a6,0.4,g8-f6,0.3,,,,,,
,rnbqkb1r/pp1p1ppp/4pn2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b,d7-d6,0.7,b8-c6,0.3,,,,,,,,
d6,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b,c5-d4,1,,,,,,,,,,
,rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b,g8-f6,1,,,,,,,,,,
,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b,a7-a6,0.5,g7-g6,0.2,b8-c6,0.2,e7-e6,0.1,,,,
Closed Sicilian,rnbqkbnr/pp1ppppp/8/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR b,b8-c6,1,,,,,,,,,,
,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR b,g7-g6,1,,,,,,,,,,
,r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/2N5/PPPP2PP/R1BQKBNR b,g7-g6,1,,,,,,,,,,
Alapin sicilian,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b,g8-f6,0.5,d7-d5,0.5,,,,,,,,
,rnbqkb1r/pp1ppppp/5n2/2p1P3/8/2P5/PP1P1PPP/RNBQKBNR b,f6-d5,1,,,,,,,,,,
,rnbqkb1r/pp1ppppp/8/2pnP3/3P4/2P5/PP3PPP/RNBQKBNR b,c5-d4,1,,,,,,,,,,
,rnbqkb1r/pp1ppppp/8/2pnP3/8/2P2N2/PP1P1PPP/RNBQKB1R b,b8-c6,0.7,e7-e6,0.3,,,,,,,,
,rnbqkbnr/pp2pppp/8/2pP4/8/2P5/PP1P1PPP/RNBQKBNR b,d8-d5,1,,,,,,,,,,
,rnb1kbnr/pp2pppp/8/2pq4/3P4/2P5/PP3PPP/RNBQKBNR b,g8-f6,0.6,b8-c6,0.2,e7-e6,0.2,,,,,,
,,,,,,,,,,,,,
French,,,,,,,,,,,,,
KIA,rnbqkbnr/pppp1ppp/4p3/8/4P3/3P4/PPP2PPP/RNBQKBNR b,d7-d5,0.8,c7-c5,0.2,,,,,,,,
Mainline,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b,d7-d5,1,,,,,,,,,,
exchange,rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PPP2PPP/RNBQKBNR b,e6-d5,1,,,,,,,,,,
Advance,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b,c7-c5,1,,,,,,,,,,
Advance,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b,b8-c6,0.8,d8-b6,0.2,,,,,,,,
Advance,r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b,c8-d7,0.5,d8-b6,0.5,,,,,,,,
Tarrasch,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b,g8-f6,0.3,c7-c5,0.3,f8-e7,0.1,d5-e4,0.2,b8-c6,0.1,,
closed tarrasch,rnbqkb1r/ppp2ppp/4pn2/3pP3/3P4/8/PPPN1PPP/R1BQKBNR b,f6-d7,1,,,,,,,,,,
open tarrasch,rnbqkbnr/pp3ppp/4p3/2pP4/3P4/8/PPPN1PPP/R1BQKBNR b,d8-d5,0.5,e6-d5,0.5,,,,,,,,
open tarrasch,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/5N2/PPPN1PPP/R1BQKB1R b,c5-d4,0.5,b8-c6,0.3,g8-f6,0.2,,,,,,
Mainline,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b,f8-b4,0.5,g8-f6,0.4,d5-e4,0.1,,,,,,
Winawer,rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b,c7-c5,0.8,g8-e7,0.2,,,,,,,,
Steinitz,rnbqkb1r/ppp2ppp/4pn2/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR b,f6-d7,1,,,,,,,,,,
Steinitz,rnbqkb1r/pppn1ppp/4p3/3pP3/3P1P2/2N5/PPP3PP/R1BQKBNR b,c7-c5,1,,,,,,,,,,
Burn,rnbqkb1r/ppp2ppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR b,d5-e4,0.4,f8-b4,0.3,f8-e7,0.3,,,,,,
Rubinstien,rnbqkbnr/ppp2ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR b,b8-d7,0.7,c8-d7,0.3,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Caro,rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b,d7-d5,1,,,,,,,,,,
Classical,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b,d5-e4,1,,,,,,,,,,
Classical,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b,d5-e4,1,,,,,,,,,,
Classical,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b,c8-f5,0.6,b8-d7,0.3,g8-f6,0.1,,,,,,
advance,rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b,c8-f5,0.9,c6-c5,0.1,,,,,,,,
advance,rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/5N2/PPP2PPP/RNBQKB1R b,e7-e6,1,,,,,,,,,,
advance,rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/2N5/PPP2PPP/R1BQKBNR b,e7-e6,0.9,d8-b6,0.1,,,,,,,,
exchange,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR b,c6-d5,1,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Scandi,rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b,d8-d5,0.7,g8-f6,0.3,,,,,,,,
,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b,d5-a5,0.7,d5-d6,0.3,,,,,,,,
,rnb1kbnr/ppp1pppp/8/q7/3P4/2N5/PPP2PPP/R1BQKBNR b,g8-f6,0.7,c7-c6,0.3,,,,,,,,
,rnbqkb1r/ppp1pppp/5n2/3P4/3P4/8/PPP2PPP/RNBQKBNR b,f6-d5,0.7,c8-g4,0.3,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alekhine,rnbqkb1r/pppppppp/5n2/4P3/8/8/PPPP1PPP/RNBQKBNR b ,f6-d5,1,,,,,,,,,,
,rnbqkb1r/pppppppp/8/3nP3/3P4/8/PPP2PPP/RNBQKBNR b,d7-d6,1,,,,,,,,,,
,rnbqkb1r/ppp1pppp/3p4/3nP3/2PP4/8/PP3PPP/RNBQKBNR b,d5-b6,1,,,,,,,,,,
,rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/5N2/PPP2PPP/RNBQKB1R b,c8-g4,5,d6-e5,3,g7-g6,2,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
d4,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b,d7-d5,0.3,g8-f6,0.5,e7-e6,0.1,f7-f5,0.1,,,,
,,,,,,,,,,,,,
QG,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b,e7-e6,0.4,c7-c6,0.3,d5-c4,0.2,e7-e5,0.05,b8-c6,0.05,,
QGD Nc3,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b,g8-f6,0.5,c7-c6,0.3,f8-e7,0.1,c7-c5,0.1,,,,
QGD Bg5,rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b,f8-e7,0.7,b8-d7,0.2,c7-c6,0.1,,,,,,
Ex QGD,rnbqkb1r/ppp2ppp/4pn2/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b,e6-d5,0.8,f6-d5,0.2,,,,,,,,
QGD Nf3,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b,g8-f6,0.6,c7-c6,0.2,c7-c5,0.2,,,,,,
QGD,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b,f8-e7,0.4,c7-c6,0.2,f8-b4,0.2,b8-d7,0.05,d5-c4,0.1,c7-c5,0.05
Nc3 slav,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b,g8-f6,0.8,d5-c4,0.1,e7-e6,0.1,,,,,,
Nf3 slav,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b,g8-f6,0.8,d5-c4,0.1,e7-e6,0.1,,,,,,
slav,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b,e7-e6,0.4,d5-c4,0.4,a7-a6,0.2,,,,,,
pure slav,rnbqkb1r/pp2pppp/2p2n2/8/P1pP4/2N2N2/1P2PPPP/R1BQKB1R b,c1-f5,1,,,,,,,,,,
semi slav,rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b,b8-d7,1,,,,,,,,,,
semi slav,rnbqkb1r/pp3ppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b,h7-h6,0.4,d5-c4,0.4,b8-d7,0.2,,,,,,
Ex slav,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b,c6-d5,1,,,,,,,,,,
QGA Nf3,rnbqkbnr/ppp1pppp/8/8/2pP4/5N2/PP2PPPP/RNBQKB1R b,g8-f6,0.8,a7-a6,0.2,,,,,,,,
,rnbqkb1r/ppp1pppp/5n2/8/2pP4/4PN2/PP3PPP/RNBQKB1R b,e7-e6,0.8,c8-g4,0.2,,,,,,,,
QGA e3,rnbqkbnr/ppp1pppp/8/8/2pP4/4P3/PP3PPP/RNBQKBNR b,g8-f6,0.8,e7-e5,0.2,,,,,,,,
,rnbqkb1r/ppp1pppp/5n2/8/2BP4/4P3/PP3PPP/RNBQK1NR b,e7-e6,1,,,,,,,,,,
,rnbqkb1r/ppp2ppp/4pn2/8/2BP4/4PN2/PP3PPP/RNBQK2R b ,c7-c5,0.8,a7-a6,0.2,,,,,,,,
QGA e4,rnbqkbnr/ppp1pppp/8/8/2pPP3/8/PP3PPP/RNBQKBNR b,g8-f6,0.5,e7-e5,0.5,,,,,,,,
QGA Nc3,rnbqkbnr/ppp1pppp/8/8/2pP4/2N5/PP2PPPP/R1BQKBNR b,g8-f6,0.4,a7-a6,0.4,e7-e5,0.2,,,,,,
albin,rnbqkbnr/ppp2ppp/8/3pP3/2P5/8/PP2PPPP/RNBQKBNR b,d5-d4,1,,,,,,,,,,
,rnbqkbnr/ppp2ppp/8/4P3/2Pp4/5N2/PP2PPPP/RNBQKB1R b,b8-c6,1,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indians,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b,e7-e6,0.5,g7-g6,0.4,c7-c5,0.1,,,,,,
e6+Nf3,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b,b7-b6,0.4,d7-d5,0.3,c7-c5,0.1,f8-b4,0.2,,,,
,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5NP1/PP2PP1P/RNBQKB1R b,c8-a6,0.6,c8-b7,0.4,,,,,,,,
,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/P4N2/1P2PPPP/RNBQKB1R b,c8-a6,0.3,c8-b7,0.7,,,,,,,,
,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b,f8-b4,0.5,c8-b7,0.5,,,,,,,,
e6+Nc3,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b,f8-b4,0.9,d7-d5,0.1,,,,,,,,
,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N1P3/PP3PPP/R1BQKBNR b,e8-g8,0.6,c7-c5,0.2,b7-b6,0.2,,,,,,
,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PPQ1PPPP/R1B1KBNR b,e8-g8,0.6,c7-c5,0.2,d7-d5,0.2,,,,,,
g6+Nf3,rnbqkb1r/pppppp1p/5np1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b,f8-g7,1,,,,,,,,,,
g6+Nc3,rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b,f8-g7,0.5,d7-d5,0.5,,,,,,,,
,rnbqk2r/ppppppbp/5np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b,e8-g8,0.4,d7-d5,0.4,d7-d6,0.2,,,,,,
,rnbqk2r/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b,d7-d6,1,,,,,,,,,,
,rnbqkb1r/ppp1pp1p/5np1/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b,f6-d5,1,,,,,,,,,,
,rnbqkb1r/ppp1pp1p/6p1/3n4/3PP3/2N5/PP3PPP/R1BQKBNR b,d5-c3,1,,,,,,,,,,
,rnbqk2r/ppppppbp/5np1/8/2PP4/5NP1/PP2PP1P/RNBQKB1R b,e8-g8,1,,,,,,,,,,
Benoni,rnbqkb1r/pp1ppppp/5n2/2pP4/2P5/8/PP2PPPP/RNBQKBNR b,b7-b5,0.4,e7-e6,0.3,g7- g6,0.2,e7-e5,0.1,,,,
benko,rnbqkb1r/p2ppppp/5n2/1PpP4/8/8/PP2PPPP/RNBQKBNR b ,a7-a6,1,,,,,,,,,,
tromp,rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR b,f6-e4,0.4,e7-e6,0.3,d7-d5,0.2,c7-c5,0.1,,,,
2 Nf3,rnbqkb1r/pppppppp/5n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b,e7-e6,0.3,g7-g6,0.4,c7-c5,0.1,d7-d5,0.2,,,,
g3,rnbqkb1r/pppp1ppp/4pn2/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b,b7-b5,0.25,b7-b6,0.25,c7-c5,0.25,d7-d5,0.25,,,,
colle,rnbqkb1r/pppp1ppp/4pn2/8/3P4/4PN2/PPP2PPP/RNBQKB1R b,c7-c5,0.5,b7-b6,0.5,,,,,,,,
torre,rnbqkb1r/pppp1ppp/4pn2/6B1/3P4/5N2/PPP1PPPP/RN1QKB1R b,h7-h6,0.4,c7-c5,0.5,d7-d5,0.1,,,,,,
London,rnbqkb1r/pppp1ppp/4pn2/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R b,c7-c5,0.5,b7-b6,0.5,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
QP,rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b,g8-f6,1,,,,,,,,,,
,rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b,c7-c6,0.4,e7-e6,0.4,d5-c4,0.2,,,,,,
,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b,c7-c5,0.6,e7-e6,0.2,c7-c6,0.2,,,,,,
e6,rnbqkbnr/pppp1ppp/4p3/8/3P4/5N2/PPP1PPPP/RNBQKB1R b,g8-f6,0.4,f7-f5,0.3,c7-c5,0.2,d7-d5,0.1,,,,
dutch g3,rnbqkbnr/ppppp1pp/8/5p2/3P4/6P1/PPP1PP1P/RNBQKBNR b,g8-f6,1,,,,,,,,,,
dutch Nf3,rnbqkbnr/ppppp1pp/8/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R b ,g8-f6,1,,,,,,,,,,
dutch c4,rnbqkbnr/ppppp1pp/8/5p2/2PP4/8/PP2PPPP/RNBQKBNR b,g8-f6,1,,,,,,,,,,
,rnbqkb1r/ppppp1pp/5n2/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR b,g7-g6,0.7,e7-e6,0.3,,,,,,,,
,rnbqkbnr/pppp2pp/4p3/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR b,g8-f6,1,,,,,,,,,,
,rnbqkbnr/pppp2pp/4p3/5p2/2PP4/5N2/PP2PPPP/RNBQKB1R b,g8-f6,1,,,,,,,,,,
,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b,g7-g6,0.5,e7-e6,0.3,d7-d6,0.2,,,,,,
,rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/5NP1/PP2PP1P/RNBQKB1R b,d7-d5,0.5,f8-e7,0.5,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. c4,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b,g8-f6,0.3,e7-e5,0.3,c7-c5,0.2,e7-e6,0.2,,,,
,,,,,,,,,,,,,
Nf6+Nf3,rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b,g7-g6,0.4,e7-e6,0.4,c7-c5,0.2,,,,,,
Nf6+g3,rnbqkb1r/pppppppp/5n2/8/2P5/6P1/PP1PPP1P/RNBQKBNR b,g7-g6,0.4,e7-e6,0.3,c7-c6,0.3,,,,,,
Nf6+Nc3,rnbqkb1r/pppppppp/5n2/8/2P5/2N5/PP1PPPPP/R1BQKBNR b,g7-g6,0.3,e7-e6,0.2,c7-c5,0.2,e7-e5,0.2,d7-d5,0.1,,
,rnbqkbnr/ppp2ppp/4p3/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R b,g8-f6,0.8,d5-c4,0.2,,,,,,,,
,rnbqkb1r/pppp1ppp/4pn2/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R b,d7-d5,0.5,c7-c5,0.1,f8-b4,0.4,,,,,,
,rnbqkbnr/ppp2ppp/4p3/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR b,g8-f6,0.8,d5-c4,0.2,,,,,,,,
,,,,,,,,,,,,,
e6+Nf3,rnbqkbnr/pppp1ppp/4p3/8/2P5/5N2/PP1PPPPP/RNBQKB1R b,d7-d5,0.6,g8-f6,0.4,,,,,,,,
e6+g3,rnbqkbnr/pppp1ppp/4p3/8/2P5/6P1/PP1PPP1P/RNBQKBNR b,d7-d5,1,,,,,,,,,,
e6+Nc3,rnbqkbnr/pppp1ppp/4p3/8/2P5/2N5/PP1PPPPP/R1BQKBNR b,d7-d5,0.9,g8-f6,0.1,,,,,,,,
,rnbqkb1r/pppppp1p/5np1/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR b,d7-d6,1,,,,,,,,,,
,rnbqkb1r/pppp1ppp/4pn2/8/2P1P3/2N5/PP1P1PPP/R1BQKBNR b,d7-d5,0.7,c7-c5,0.3,,,,,,,,
,rnbqkb1r/pppp1ppp/4pn2/8/2P5/5NP1/PP1PPP1P/RNBQKB1R b,d7-d5,0.7,b7-b6,0.2,a7-a6,0.1,,,,,,
,,,,,,,,,,,,,
rev Nc3,rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b,g8-f6,0.5,b8-c6,0.3,f8-b4,0.1,d7-d6,0.1,,,,
rev g3,rnbqkbnr/pppp1ppp/8/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR b,g8-f6,0.6,b8-c6,0.4,,,,,,,,
,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R b,b8-c6,1,,,,,,,,,,
,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b,f8-b4,0.4,d7-d5,0.3,b8-c6,0.2,c7-c6,0.1,,,,
,r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b,g7-g6,0.8,f7-f5,0.2,,,,,,,,
,r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R b,g8-f6,0.5,f7-f5,0.3,g7-g6,0.2,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
sym Nf3,rnbqkbnr/pp1ppppp/8/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R b,b8-c6,0.5,g8-f6,0.4,g7-g6,0.1,,,,,,
sym Nc3,rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b,b8-c6,0.5,g8-f6,0.3,g7-g6,0.2,,,,,,
sym g3,rnbqkbnr/pp1ppppp/8/2p5/2P5/6P1/PP1PPP1P/RNBQKBNR b,b8-c6,0.3,g8-f6,0.2,g7-g6,0.5,,,,,,
,r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R b,g7-g6,0.5,e7-e5,0.3,g8-f6,0.2,,,,,,
,rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R b,e7-e6,0.3,b8-c6,0.3,d7-d5,0.2,b7-b6,0.1,g7-g6,0.1,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. Nf3,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b,g8-f6,0.6,d7-d5,0.3,c7-c5,0.1,,,,,,
KIA,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b,g8-f6,0.4,c7-c6,0.3,c8-g4,0.1,g7-g6,0.1,c7-c5,0.1,,
KIA,rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPPBP/RNBQK2R b,c7-c6,0.5,e7-e6,0.2,g7-g6,0.1,c8-f5,0.1,c7-c5,0.1,,
Reti,rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R b,c7-c6,0.4,e7-e6,0.4,d5-d4,0.2,,,,,,
,,,,,,,,,,,,,
KIA,rnbqkb1r/pppppppp/5n2/8/8/5NP1/PPPPPP1P/RNBQKB1R b,g7-g6,0.5,d7-d5,0.4,b7-b6,0.1,,,,,,
KIA,rnbqkb1r/pppppp1p/5np1/8/8/5NP1/PPPPPPBP/RNBQK2R b,f8-g7,1,,,,,,,,,,
