WHITE,,,,,,,,,,,,,
Closed sicilian,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w,g2-g3,0.5,f2-f4,0.2,f1-b5,0.2,g1-f3,0.1,,,,
,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w,f1-g2,1,,,,,,,,,,
alapin,rnbqkb1r/pp1ppppp/5n2/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w,e4-e5,1,,,,,,,,,,
,rnbqkb1r/pp1ppppp/8/2pnP3/8/2P5/PP1P1PPP/RNBQKBNR w,d2-d4,0.5,g1-f3,0.5,,,,,,,,
,rnbqkbnr/pp2pppp/8/2pp4/4P3/2P5/PP1P1PPP/RNBQKBNR w,e4-d5,1,,,,,,,,,,
,rnb1kbnr/pp2pppp/8/2pq4/8/2P5/PP1P1PPP/RNBQKBNR w,d2-d4,1,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
French,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w,d2-d4,0.9,d2-d3,0.1,,,,,,,,
KIA,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/3P4/PPP2PPP/RNBQKBNR w,g1-d2,0.8,d1-e2,0.2,,,,,,,,
Mainline,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w,b1-c3,0.4,g1-d2,0.3,e4-e5,0.2,e4-d5,0.1,,,,
Advance,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w,c2-c3,1,,,,,,,,,,
Advance,r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w,g1-f3,1,,,,,,,,,,
Closed Tarrasch,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w,e4-e5,1,,,,,,,,,,
Closed Tarrasch,rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/8/PPPN1PPP/R1BQKBNR w,f1-d3,0.5,c2-c3,0.3,f2-f4,0.2,,,,,,
Open Tarrasch,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w,e4-d5,0.6,g1-f3,0.4,,,,,,,,
Rubinstien,rnbqkbnr/ppp2ppp/4p3/8/3Pp3/8/PPPN1PPP/R1BQKBNR w,d2-e4,1,,,,,,,,,,
Rubinstien,rnbqkbnr/ppp2ppp/4p3/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w,c3-e4,1,,,,,,,,,,
Winawer,rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP2PPP/R1BQKBNR w,e4-e5,0.9,e4-d5,0.1,,,,,,,,
Winawer,rnbqk1nr/pp3ppp/4p3/2ppP3/1b1P4/2N5/PPP2PPP/R1BQKBNR w,a2-a3,0.9,c1-d2,0.1,,,,,,,,
Classical,rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w,e4-e5,0.5,c1-g5,0.5,,,,,,,,
Steinitz,rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR w,f2-f4,0.9,c3-e2,0.1,,,,,,,,
Steinitz,rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P1P2/2N5/PPP3PP/R1BQKBNR w,g1-f3,1,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Caro,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w,d2-d4,0.8,b1-c3,0.1,c2-c4,0.1,,,,,,
Mainline,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w,e4-e5,0.3,b1-c3,0.3,e4-d5,0.2,b1-d2,0.2,,,,
Classical,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w,c3-e4,1,,,,,,,,,,
Classical,rnbqkbnr/pp2pppp/2p5/8/3Pp3/8/PPPN1PPP/R1BQKBNR w,d2-e4,1,,,,,,,,,,
exchange,rnbqkbnr/pp2pppp/8/3p4/3P4/8/PPP2PPP/RNBQKBNR w,c2-c4,0.7,f1-d3,0.3,,,,,,,,
advance,rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w,g1-f3,0.6,b1-c3,0.2,h2-h4,0.1,b1-d2,0.1,,,,
advance,rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/2N5/PPP2PPP/R1BQKBNR w,g2-g4,1,,,,,,,,,,
